Issue Id,Parent,Issue Type,Summary,Description,Priority,Story Points,Labels,Labels
1,,Epic,MVP - Auth Foundation with JWT and Roles,"Close the two rubric gaps in the user module and land JWT authentication up front.

JWT is optional per the rubric, but it is promoted into the MVP tier deliberately: building it before the order module means the order endpoints read the caller from the token from day one instead of being written twice. Role normalization is here too because the role decorators need a fixed vocabulary.",Highest,,mvp,auth
2,,Epic,MVP - Order Module,"Build the entire order module. Nothing exists today: routes/__init__.py registers only users, products and categories, and the order_items junction has no quantity column.

The largest MVP epic and the only module scoring zero against the rubric. Depends on epic 1 for caller identity.",Highest,,mvp,orders
3,,Epic,MVP - Product and Category Compliance,"Product and category CRUD already pass the rubric. Two behaviour gaps remain: the product delete guard, and category detail returning its products.",Highest,,mvp,api
4,,Epic,MVP - Migrations Seeders Tests and Docs,"Keep migrations, seed data, tests and API docs valid for the MVP scope so the submission runs clean from a fresh clone.",High,,mvp,
5,,Epic,IMPROVEMENT - Marshmallow DTO Layer,"Replace helper/validation.py tuple-returning checks and model to_dict methods with Marshmallow schemas for input validation and output serialization.

Scheduled as the FIRST improvement epic, immediately after every rubric requirement passes. Doing it before epics 7 to 9 is much cheaper than retrofitting schemas onto fifteen new endpoints afterwards.",High,,improvement,dto
6,,Epic,IMPROVEMENT - Auth Enhancements,"Refresh tokens, logout revocation, email availability check and rate limiting. Builds on the JWT foundation delivered in epic 1.",Medium,,improvement,auth
7,,Epic,IMPROVEMENT - User Profile and Addresses,Add a one-to-one user_profiles table and a one-to-many user_addresses table with exactly one default address per user.,Medium,,improvement,database
8,,Epic,IMPROVEMENT - Product Catalog Enhancements,"Seller ownership, slug, images, nested category routes and extended filtering.",Medium,,improvement,api
9,,Epic,IMPROVEMENT - Order Status Lifecycle,"Status transition rules, a payment endpoint, cancellation with stock restore, order filtering, and an immutable shipping address.",Medium,,improvement,orders
10,,Epic,IMPROVEMENT - Seller Ownership Rules,"Restrict product mutation to the owning seller, and extend order permissions to sellers. Buyer-scoping already lands in epic 2 because JWT is in the MVP tier.",Medium,,improvement,auth
11,,Epic,IMPROVEMENT - Data Integrity and Robustness,"Concurrency safety, database-level constraints and migration chain review.",Medium,,improvement,database
101,1,Story,Expose POST /users as the registration route,"As an API consumer I want registration at POST /users so that the endpoint matches the required specification.

Acceptance criteria:
- POST /api/v1/users registers a new user with the existing validation and bcrypt hashing behaviour
- A decision is recorded and documented: either /users/register is kept as a deprecated alias, or it is removed and all callers updated
- tests/test_endpoints.py and the README endpoint table reflect the chosen path
- Response body and status codes are unchanged from the current implementation

Notes:
- The rubric lists POST /users; the code currently registers at POST /users/register.
- Purely a routing change. Do not fold validation refactoring in here, that is epic 5.",Highest,2,mvp,auth
102,1,Story,Add POST /auth/login verifying credentials,"As a registered user I want to log in so that I can be identified on subsequent requests.

Acceptance criteria:
- A new auth blueprint is registered at /api/v1/auth
- POST /api/v1/auth/login accepts email and password
- Password is verified with bcrypt against password_hash
- On success it returns the user DTO and updates users.last_login
- Wrong credentials return 401 with a generic message that does not reveal whether the email exists
- Soft-deleted users (is_active false) cannot log in

Notes:
- Credential verification only. Token issuance is ticket 104, kept separate so this can be tested on its own.
- last_login already exists on the model but is never written today.",Highest,3,mvp,auth
103,1,Story,Add JWT dependencies and secret configuration,"As a developer I need the auth library installed and secrets configured before token work can begin.

Acceptance criteria:
- requirements.txt pins flask-jwt-extended at an exact version
- config.py exposes SECRET_KEY, JWT_SECRET_KEY and JWT_ACCESS_TOKEN_EXPIRES from the environment
- .env.example documents the new variables and the app fails fast with a clear message if JWT_SECRET_KEY is missing
- JWTManager is initialised in init_app() alongside db and Migrate

Notes:
- config.py is loaded via app.config.from_object('config'), so only UPPERCASE module attributes are picked up.
- No JWT package is in requirements.txt today.",Highest,2,mvp,auth
